ad_campaign_id,category
2983927001,Electronics
2983713001,"Clothing, Shoes & Jewelry"
2983094001,Health & Household
2983094001,Grocery & Gourmet Food
2982880001,Electronics
2982809001,Grocery & Gourmet Food
2982471001,Health & Household
2982364001,Health & Household
2981536001,Electronics
2981511001,Electronics
2981474001,Electronics
2981138001,Apps & Games
2980538001,"Clothing, Shoes & Jewelry"
2980538001,Sports & Outdoors
2980267001,Sports & Outdoors
2980267001,"Clothing, Shoes & Jewelry"
2979618001,Apps & Games
2979282001,Apps & Games
2979281001,Apps & Games
2979280001,Apps & Games
2979279001,Apps & Games
2978804001,"Clothing, Shoes & Jewelry"
2978804001,Sports & Outdoors
2978795001,"Clothing, Shoes & Jewelry"
2978795001,Sports & Outdoors
2978786001,Sports & Outdoors
2978786001,"Clothing, Shoes & Jewelry"
2978768001,"Clothing, Shoes & Jewelry"
2978768001,Sports & Outdoors
2978743001,Electronics
2978729001,Pet Supplies
2978689001,Electronics
2977905001,Health & Household
2976479001,Electronics
2976479001,Health & Household
2976479001,Home & Kitchen
2975831001,Apps & Games
2975288001,Apps & Games
2975284001,Apps & Games
2974605001,Apps & Games
2974603001,Apps & Games
2973775001,Sports & Outdoors
2973775001,Grocery & Gourmet Food
2973749001,Video Games
2973530001,Video Games
2973463001,Video Games
2973448001,Electronics
2973245001,Toys & Games
2973076001,Apps & Games
2972905001,"Clothing, Shoes & Jewelry"
2972305001,Beauty & Personal Care
2972110001,Apps & Games
2968154001,Apps & Games
2968153001,Apps & Games
2967858001,Apps & Games
2967850001,Apps & Games
2967849001,Apps & Games
2967847001,Apps & Games
2967825001,Apps & Games
2967698001,Apps & Games
2967697001,Apps & Games
2967694001,Apps & Games
2966979001,Health & Household
2965843001,Apps & Games
2965842001,Apps & Games
2965836001,Apps & Games
2965487001,Apps & Games
2965404001,Apps & Games
2965401001,Apps & Games
2965398001,Apps & Games
2965202001,Apps & Games
2965161001,Cell Phones & Accessories
2965161001,Electronics
2965085001,Toys & Games
2964849001,Health & Household
2964795001,Beauty & Personal Care
2964691001,Grocery & Gourmet Food
2964668001,Health & Household
2964646001,Health & Household
2964499001,Health & Household
2964498001,Health & Household
2964377001,Toys & Games
2964163001,Beauty & Personal Care
2964158001,Industrial & Scientific
2964158001,Beauty & Personal Care
2963754001,Apps & Games
2963749001,Apps & Games
2963742001,Apps & Games
2963723001,Apps & Games
2963705001,Apps & Games
2963439001,Apps & Games
2962973001,Apps & Games
2962749001,Apps & Games
2962747001,Apps & Games
2961953001,"Clothing, Shoes & Jewelry"
2961198001,Sports & Outdoors
2961091001,Apps & Games
2960754001,Toys & Games
2960753001,Toys & Games
2960752001,Toys & Games
2960274001,Sports & Outdoors
2960274001,"Clothing, Shoes & Jewelry"
2959963001,Toys & Games
2959931001,Movies & TV
2959750001,Apps & Games
2959557001,Video Games
2959256001,"Clothing, Shoes & Jewelry"
2958939001,Apps & Games
2958924001,Apps & Games
2956689001,Apps & Games
2956684001,Apps & Games
2956678001,Apps & Games
2956664001,Apps & Games
2956658001,Apps & Games
2956635001,Apps & Games
2956048001,Sports & Outdoors
2956048001,Toys & Games
2956048001,"Clothing, Shoes & Jewelry"
2955210001,Electronics
2954963001,Electronics
2954963001,Video Games
2954962001,Video Games
2954962001,Electronics
2954793001,Beauty & Personal Care
2954773001,Video Games
2954654001,"Clothing, Shoes & Jewelry"
